มหาวิทยาลัย,คณะ,สาขา,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย
มหาวิทยาลัยราชภัฏพิบูลสงคราม,คณะเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าบำรุงการศึกษา 12,000 บาท ต่อภาคการศึกษา"
มหาวิทยาลัยราชภัฏสวนสุนันทา,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering,ภาษาไทย ปกติ,หลัก,"ค่าลงทะเบียนเรียน 18,500 บาท ต่อภาคเรียน และค่าธรรมเนียมแรกเข้าศึกษา 5,350 บาท (ค่าแรกเข้าชำระเฉพาะภาคเรียนแรกที่เข้าศึกษา) สามารถดูประกาศค่าธรรมเนียม  ณ วันที่ประกาศรายชื่อผู้มีสิทธิ์เข้าศึกษาที่เว็บไซต์ https://admission.ssru.ac.th/login"
มหาวิทยาลัยราชภัฏอุบลราชธานี,คณะเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,Computer and Network Engineering,ภาษาไทย ปกติ,วิศวกรรมคอมพิวเตอร์และเครือข่าย,วิทยาเขตหลัก
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,คณะครุศาสตร์อุตสาหกรรม,คอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,100000 ตลอดหลักสูตร  (14000 ต่อภาคเรียน)
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,20000 บาท/ภาคการศึกษา
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),B.Eng. (Computer Engineering and IoT System),ภาษาไทย ปกติ,วิทยาเขตหลัก,อัตราค่าบำรุงการศึกษา ภาคการศึกษาแรก 16120 บาท / ภาคการศึกษาถัดไป 11700 บาท
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,พระนครเหนือ,15000
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ.  วิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofEngineering(B.Eng.),ภาษาไทย ปกติ,ศาลายา,"สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา"
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,คณะอุตสาหกรรมและเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofIndustrialTechnology(B.Ind.Tech.),ภาษาไทย ปกติ,วังไกลกังวล,"สายวิทยาศาสตร์ค่าเทอมเหมาจ่าย 15,000/ภาคการศึกษา สายสังคมค่าเทอมเหมาจ่าย 12,000/ภาคการศึกษา"
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,สงขลา,"110,000"
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering,ภาษาไทย ปกติ,สงขลา,"110,000"
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,Information and Communication Engineering,ภาษาไทย ปกติ,ตรัง,"110,000"
