,Unnamed: 0,มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา,ค่าใช้จ่ายที่ปรับแล้ว,img,latitude,longitude
15,15,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี  (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Computer Engineering (International Program) 4-year undergraduate program ( international ),นานาชาติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,30000,https://assets.mytcas.com/i/logo/014.png,13.652560929388246,100.4973327199225
16,16,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,Bachelor of Engineering Program in Computer Engineering 4-year undergraduate program,ภาษาไทย ปกติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,70000,https://assets.mytcas.com/i/logo/014.png,13.652110385797153,100.4931483311626
17,17,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,25000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25000,https://assets.mytcas.com/i/logo/015.png,13.819670004962413,100.51509897566869
18,18,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,ลาดกระบัง,25000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25000,https://assets.mytcas.com/i/logo/016.png,13.729210139563662,100.77830862033011
19,19,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),B.Eng. Computer Engineering (International Program),นานาชาติ,ลาดกระบัง,90000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,90000,https://assets.mytcas.com/i/logo/016.png,13.728705859937849,100.77792256591141
20,20,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,B.Eng. Computer Engineering and Cyber Security,ภาษาไทย ปกติ,ลาดกระบัง,50000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,50000,https://assets.mytcas.com/i/logo/016.png,13.731583812408104,100.77831333403842
21,21,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,ชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,20000,วิทยาเขตชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,วิศวกรรมคอมพิวเตอร์,20000,https://assets.mytcas.com/i/logo/016.png,10.724330666457721,99.37234900515416
22,22,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"197,100",สำนักวิชาวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,24637,https://assets.mytcas.com/i/logo/017.png,14.882305579302596,102.02036925992215
23,23,มหาวิทยาลัยนเรศวร,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,16000,https://assets.mytcas.com/i/logo/020.png,16.746712443029974,100.19224779964358
24,24,มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,วิทยาเขตหลัก,32700,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,32700,https://assets.mytcas.com/i/logo/023.png,8.641182962208912,99.8988510231659
