มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา,ค่าใช้จ่ายที่ปรับแล้ว,img
มหาวิทยาลัยรามคำแหง,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering (International Program) (B. Eng. (Computer Engineering)),นานาชาติ,วิทยาเขตหลัก,"ตลอดหลักสูตร 403,260 บาท (63,260 บาทในภาคการศึกษาแรก)",คณะวิศวกรรมศาสคร์,วิศวกรรมคอมพิวเตอร์,63260,ramkhamhaeng.png
สถาบันเทคโนโลยีจิตรลดา,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,31500,คณะเทคโนโลยีดิจิทัล,วิศวกรรมคอมพิวเตอร์,31500,jitrada.png
มหาวิทยาลัยราชภัฏพิบูลสงคราม,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,12000,คณะเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์,12000,pibulsongkram.png
มหาวิทยาลัยราชภัฏสวนสุนันทา,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering,ภาษาไทย ปกติ,หลัก,18500,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์,18500,suansunandha.png
มหาวิทยาลัยราชภัฏอุบลราชธานี,วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,Computer and Network Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,72610,คณะเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์,9076,ubon.png
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,14000,คณะครุศาสตร์อุตสาหกรรม,คอมพิวเตอร์,14000,tanyaburi.png
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,20000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,20000,tanyaburi.png
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),B.Eng. (Computer Engineering and IoT System),ภาษาไทย ปกติ,วิทยาเขตหลัก,16120,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,16120,rmutk.png
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,พระนครเหนือ,15000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,15000,rmutp.png
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,วศ.บ.  วิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofEngineering(B.Eng.),ภาษาไทย ปกติ,ศาลายา,15000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,15000,rmutr.png
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofIndustrialTechnology(B.Ind.Tech.),ภาษาไทย ปกติ,วังไกลกังวล,15000,คณะอุตสาหกรรมและเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,15000,rmutr.png
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,วศ.บ. วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,13750,ruts.png
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,13750,ruts.png
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,Information and Communication Engineering,ภาษาไทย ปกติ,ตรัง,"110,000",คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,13750,ruts.png
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,วศ.บ.วิศวกรรมคอมพิวเตอร์,Programin Computer Engineering,ภาษาไทย ปกติ,นครราชสีมา,12000,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,12000,rmuti.png
มหาวิทยาลัยศรีปทุม,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Sc. Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,,คณะเทคโนโลยีสารสนเทศ (กทม.),วิศวกรรมคอมพิวเตอร์,46700,spu.png
มหาวิทยาลัยหอการค้าไทย,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),B.Eng. (Computer Engineering and Artificial Intelligence),ภาษาไทย ปกติ,วิทยาเขตหลัก,42500,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,42500,utcc.png
มหาวิทยาลัยเทคโนโลยีมหานคร,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,_,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,43572,mj.png
มหาวิทยาลัยรังสิต,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าเล่าเรียนตลอดหลักสูตร 396,800",วิทยาลัยวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,49600,rsu.png
มหาวิทยาลัยธุรกิจบัณฑิตย์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,ค่าเล่าเรียนตลอดหลักสูตร 337000 บาท,วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,42125,dpu.png
มหาวิทยาลัยเกษมบัณฑิต,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตร่มเกล้า,35250,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,35250,KasemEnglishLogo.png
มหาวิทยาลัยสยาม,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 303,500 บาท",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,37938,siam.png
สถาบันการจัดการปัญญาภิวัฒน์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,แจ้งวัฒนะ นนทบุรี,48000,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปัญญาประดิษฐ์,48000,panyapiwat.png
มหาวิทยาลัยสงขลานครินทร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Bachelor of Engineering Programe in Artificial Intelligence and System Engineering,ภาษาไทย ปกติ,ภูเก็ต,38000,วิทยาลัยการคอมพิวเตอร์,วิศวกรรมปัญญาประดิษฐ์,38000,psu.png
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมระบบอัจฉริยะ ปริญญาตรี 4 ปี (พื้นที่การศึกษาราชบุรี),Bachelor of Engineering Program in Intelligence Systems Engineering 4-year undergraduate program (Rajaburi educational region),ภาษาไทย ปกติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,วิทยาลัยสหวิทยาการ,วิศวกรรมปัญญาประดิษฐ์,25000,thonburi.png
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),B.Eng. Ai Engineering and Entrepreneurship (International Program) Joint Degree between KMITL and Bangkok University,Joint Degree - นานาชาติ,ลาดกระบัง,175000,คณะวิศวกรรมศาสตร์,วิศวกรรมปัญญาประดิษฐ์,175000,ladkrabang.png
มหาวิทยาลัยอุบลราชธานี,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,Bachelor of Engineering Program in Artificial Intelligence and Prompt Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,28000,คณะวิศวกรรมศาสตร์,วิศวกรรมปัญญาประดิษฐ์,28000,ubonratchatani.png
จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,25500,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,25500,chulalongkorn.png
