มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,Bachelor of Engineering Program in Computer Engineering 4-year undergraduate program,ภาษาไทย ปกติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ครุศาสตร์อุตสาหกรรมบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า ปริญญาตรี 5 ปี,Bachelor of Science in Industrial Education Program in Electrical Engineering 5-year undergraduate program,ภาษาไทย ปกติ,บางมด,https://kmutt.me/TUITION-FEES-BS-KMUTT,คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,ไฟฟ้า
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,ลาดกระบัง,"25,000 ต่อภาคการศึกษา",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),B.Eng. Computer Engineering (International Program),นานาชาติ,ลาดกระบัง,"90,000 ต่อภาคการศึกษา",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,B.Eng. Computer Engineering and Cyber Security,ภาษาไทย ปกติ,ลาดกระบัง,"50,000 ต่อภาคการศึกษา",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,ชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,"20,000 บาท ต่อภาคการศึกษา",วิทยาเขตชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยเทคโนโลยีสุรนารี,"กลุ่มวิศวกรรมศาสตร์ (ประกอบด้วยสาขาวิชาวิศวกรรมการผลิตอัตโนมัติและหุ่นยนต์, วิศวกรรมเกษตรและอาหาร, วิศวกรรมคอมพิวเตอร์, วิศวกรรมเคมี, วิศวกรรมเครื่องกล, วิศวกรรมปิโตรเลียมและเทคโนโลยีธรณี, วิศวกรรมไฟฟ้า, วิศวกรรมโทรคมนาคม, วิศวกรรมยานยนต์,วิศวกรรมโยธา, วิศวกรรมขนส่งและโลจิสติส์, วิศวกรรมเซรามิก, วิศวกรรมพอลิเมอร์, วิศวกรรมโลหการ, วิศวกรรมสิ่งแวดล้อม, วิศวกรรมธรณี, วิศวกรรมอากาศยาน, วิศวกรรมอิเล็กทรอนิกส์, วิศวกรรมอุตสาหการ เรียนรวมกันปี 1 แยกสาขาปี 2)",Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,,สำนักวิชาวิศวกรรมศาสตร์,วิศวกรรมทั่วไป
มหาวิทยาลัยเทคโนโลยีสุรนารี,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"197,100",สำนักวิชาวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
มหาวิทยาลัยนเรศวร,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
